bin_id,marker_lineage,ml_uid,completeness,contamination,strain_het,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",aa_percent,translation_table,red_value,warnings
CarAnox_mtb2-1243,k__Archaea,(UID2),96.88,0.93,0.0,d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__SCGC-AAA252-I15;g__;s__,,,,,,,,,,d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__;g__;s__,Placement,taxonomic novelty determined using RED,,88.91,11.0,0.707353592876,
CarAnox_mtb2-193,c__Alphaproteobacteria,(UID3305),96.86,0.43,0.0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__UBA828;g__GCA-2717225;s__,,,,,,GCA_002717225.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__UBA828;g__GCA-2717225;s__GCA-2717225 sp002717225,78.3,0.46,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__UBA828;g__;s__,Placement,taxonomic novelty determined using RED,,93.08,11.0,0.932968299817,
CarAnox_mtb2-1607,p__Euryarchaeota,(UID49),96.79,2.61,0.0,d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__;f__;g__;s__,,,,,,,,,,d__Archaea;p__Halobacterota;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,92.08,11.0,0.309214396935,
CarAnox_mtb2-931,k__Bacteria,(UID2565),96.77,1.61,0.0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__;s__,,,,,,GCA_002720975.1,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2720975;s__GCA-2720975 sp002720975,77.14,0.17,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__;s__,Placement,taxonomic novelty determined using RED,,89.37,11.0,0.852451216089,
CarAnox_mtb2-772,k__Bacteria,(UID2565),96.77,1.61,0.0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__GCA-2746235;s__,,,,,,,,,,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__;s__,Placement,taxonomic novelty determined using RED,,87.1,11.0,0.871246053746,
CarAnox_mtb2-621,k__Bacteria,(UID2565),96.77,1.08,0.0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__GCA-2705055;s__,,,,,,GCA_002705055.1,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__GCA-2705055;s__GCA-2705055 sp002705055,76.74,0.12,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__UBA1135;g__;s__,Placement,taxonomic novelty determined using RED,,89.35,11.0,0.9087260078749999,
CarAnox_mtb2-18,p__Euryarchaeota,(UID49),96.73,0.33,0.0,d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__Syntrophoarchaeales;f__Syntrophoarchaeaceae;g__Syntrophoarchaeum;s__,,,,,,GCA_001766815.1,d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__Syntrophoarchaeales;f__Syntrophoarchaeaceae;g__Syntrophoarchaeum;s__Syntrophoarchaeum caldarius,85.93,0.79,d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__Syntrophoarchaeales;f__Syntrophoarchaeaceae;g__;s__,Placement,taxonomic novelty determined using RED,,96.27,11.0,0.941509632933,
CarAnox_mtb2-292,k__Bacteria,(UID2495),96.7,0.0,0.0,d__Bacteria;p__AABM5-125-24;c__;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,94.23,11.0,0.38901609653499997,
CarAnox_mtb2-1350,k__Bacteria,(UID2495),96.7,0.0,0.0,d__Bacteria;p__Marinisomatota;c__;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,93.0,11.0,0.359799852298,
CarAnox_mtb2-109,k__Bacteria,(UID2495),96.7,3.3,0.0,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__UBA12574;s__UBA12574 sp002712305,GCA_002712305.1,95.0,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__UBA12574;s__UBA12574 sp002712305,98.39,0.92,GCA_002712305.1,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__UBA12574;s__UBA12574 sp002712305,98.39,0.92,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA8231;f__UBA8231;g__;s__,ANI/Placement,topological placement and ANI have congruent species assignments,,94.21,11.0,,
CarAnox_mtb2-945,p__Proteobacteria,(UID3880),96.65,0.15,0.0,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GCA-2400775;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,78.93,11.0,0.669057716024,
CarAnox_mtb2-21,f__Rhodobacteraceae,(UID3360),96.63,1.48,16.67,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,,,,,,,,,,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__,Placement,taxonomic classification fully defined by topology,,89.01,11.0,0.9367085650270001,
CarAnox_mtb2-1316,k__Archaea,(UID2),96.6,0.0,0.0,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__,,,,,,,,,,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosopelagicus;s__,Placement,taxonomic classification fully defined by topology,"GCA_001510295.1, s__Nitrosopelagicus sp001510295, 95.0, 84.6, 0.83; GCF_000812185.1, s__Nitrosopelagicus brevis, 95.0, 84.42, 0.88; GCA_001627235.1, s__Nitrosopelagicus sp001627235, 95.0, 83.87, 0.81; GCA_002698885.1, s__Nitrosopelagicus sp002698885, 95.0, 78.05, 0.39; GCA_000402075.1, s__Nitrosopelagicus sp000402075, 95.0, 77.19, 0.16",85.75,11.0,0.974364973318,
CarAnox_mtb2-153,k__Bacteria,(UID2565),96.59,4.86,0.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,90.52,11.0,0.6380109799600001,
CarAnox_mtb2-1392,k__Bacteria,(UID2565),96.59,1.14,0.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__UBA1845;g__;s__,,,,,,,,,,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__UBA1845;f__;g__;s__,Placement,taxonomic novelty determined using RED,,91.94,11.0,0.788285632454,
CarAnox_mtb2-1302,k__Bacteria,(UID2565),96.59,0.0,0.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SG8-4;f__SG8-4;g__SG8-4;s__,,,,,,GCA_001303465.1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SG8-4;f__SG8-4;g__SG8-4;s__SG8-4 sp001303465,86.15,0.7,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SG8-4;f__SG8-4;g__;s__,Placement,taxonomic novelty determined using RED,,86.29,11.0,0.972644390148,
CarAnox_mtb2-1286,k__Bacteria,(UID2565),96.59,0.57,0.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA12567;s__,,,,,,GCA_003520025.1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__UBA12567;s__UBA12567 sp003520025,77.55,0.22,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__SM1A02;g__;s__,Placement,taxonomic novelty determined using RED,,89.62,11.0,0.9440737206029999,
CarAnox_mtb2-633,k__Bacteria,(UID2565),96.55,4.6,0.0,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA11386;g__;s__,,,,,,GCA_003532715.1,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA11386;g__UBA11386;s__UBA11386 sp003532715,75.97,0.12,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__;g__;s__,Placement,taxonomic novelty determined using RED,,88.21,11.0,0.804352109366,
CarAnox_mtb2-1261,k__Bacteria,(UID2565),96.53,2.27,0.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__,,,,,,GCA_003485185.1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__UBA12270;s__UBA12270 sp003485185,75.79,0.09,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__,Placement,taxonomic novelty determined using RED,,85.44,11.0,0.8408011057510001,
CarAnox_mtb2-1554,p__Euryarchaeota,(UID3),96.4,1.6,0.0,d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__,,,,,,GCA_002254885.1,d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__EX4572-165;s__EX4572-165 sp002254885,92.56,0.8,d__Archaea;p__Thermoplasmatota;c__E2;o__DHVEG-1;f__DHVEG-1;g__;s__,Placement,taxonomic novelty determined using RED,,93.25,11.0,0.9802135983050001,
CarAnox_mtb2-1536,p__Euryarchaeota,(UID3),96.4,3.2,0.0,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__;f__;g__;s__,,,,,,,,,,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__;f__;g__;s__,Placement,taxonomic classification fully defined by topology,,93.36,11.0,0.39034216092699997,
CarAnox_mtb2-220,c__Deltaproteobacteria,(UID3216),96.29,3.23,20.0,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__;g__;s__,Placement,taxonomic classification fully defined by topology,,96.98,11.0,0.68611423737,
CarAnox_mtb2-828,k__Bacteria,(UID2982),96.28,2.39,0.0,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__UBA8416;g__;s__,,,,,,,,,,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__,Placement,taxonomic novelty determined using RED,,89.94,11.0,0.727491989506,
CarAnox_mtb2-1388,c__Deltaproteobacteria,(UID3216),96.28,1.61,0.0,d__Bacteria;p__Myxococcota;c__UBA6777;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Myxococcota;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,94.54,11.0,0.502937896527,
CarAnox_mtb2-707,k__Archaea,(UID2),96.26,4.67,0.0,d__Archaea;p__UAP2;c__UBA543;o__;f__;g__;s__,,,,,,,,,,d__Archaea;;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,92.19,11.0,0.266464236186,
CarAnox_mtb2-76,c__Deltaproteobacteria,(UID3216),96.08,0.65,0.0,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__,,,,,,,,,,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__,Placement,taxonomic classification fully defined by topology,,89.58,11.0,0.88019674749,
CarAnox_mtb2-205,o__Rhodospirillales,(UID3754),96.0,2.16,16.67,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__UBA2165;g__UBA2165;s__,,,,,,GCA_002327565.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__UBA2165;g__UBA2165;s__UBA2165 sp002327565,81.52,0.7,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__UBA2165;g__;s__,Placement,taxonomic novelty determined using RED,,85.32,11.0,0.943485270759,
CarAnox_mtb2-400,k__Bacteria,(UID2565),95.99,3.41,0.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__,,,,,,GCA_003485185.1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__UBA12270;s__UBA12270 sp003485185,75.82,0.06,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__,Placement,taxonomic novelty determined using RED,,83.77,11.0,0.839265650324,
CarAnox_mtb2-1400,k__Bacteria,(UID2495),95.97,0.0,0.0,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__;g__;s__,Placement,taxonomic novelty determined using RED,,88.21,11.0,0.694006296584,
CarAnox_mtb2-1179,c__Deltaproteobacteria,(UID3216),95.97,4.25,22.22,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Desulfobacterota;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,94.4,11.0,0.42691460855499996,
CarAnox_mtb2-661,k__Archaea,(UID2),95.95,0.93,0.0,d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__SCGC-AAA252-I15;g__;s__,,,,,,,,,,d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__;g__;s__,Placement,taxonomic novelty determined using RED,,88.9,11.0,0.702579524115,
CarAnox_mtb2-1007,k__Archaea,(UID2),95.95,0.0,0.0,d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__SCGC-AAA252-I15;g__;s__,,,,,,,,,,d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__;g__;s__,Placement,taxonomic novelty determined using RED,,90.2,11.0,0.672672015589,
CarAnox_mtb2-563,c__Deltaproteobacteria,(UID3216),95.81,0.65,0.0,d__Bacteria;p__FEN-1099;c__FEN-1099;o__FEN-1099;f__;g__;s__,,,,,,,,,,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,97.24,11.0,0.595211468703,
CarAnox_mtb2-1518,c__Deltaproteobacteria,(UID3216),95.81,2.58,0.0,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA6930;g__;s__,,,,,,GCA_002687015.1,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA6930;g__GCA-2687015;s__GCA-2687015 sp002687015,76.94,0.2,d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA6930;g__;s__,Placement,taxonomic novelty determined using RED,,94.9,11.0,0.7970264248360001,
CarAnox_mtb2-1299,k__Bacteria,(UID3187),95.8,1.68,0.0,d__Bacteria;p__UBA10199;c__UBA10199;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__UBA10199;c__UBA10199;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,97.04,11.0,0.533862822552,
CarAnox_mtb2-117,k__Bacteria,(UID3187),95.8,1.68,0.0,d__Bacteria;p__UBA10199;c__UBA10199;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__UBA10199;c__UBA10199;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,98.73,11.0,0.557899009136,
CarAnox_mtb2-47,k__Bacteria,(UID2565),95.74,1.14,0.0,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__,,,,,,GCA_002685935.1,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__GCA-2685935;s__GCA-2685935 sp002685935,75.96,0.06,d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__,Placement,taxonomic novelty determined using RED,,88.87,11.0,0.767263504325,
CarAnox_mtb2-1170,k__Bacteria,(UID1453),95.73,1.28,0.0,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__UBA3125;s__,,,,,,,,,,d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__MedAcidi-G1;g__;s__,Placement,taxonomic novelty determined using RED,,93.95,11.0,0.949011301059,
CarAnox_mtb2-925,k__Bacteria,(UID2565),95.7,1.08,0.0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__;s__,,,,,,GCA_002683825.1,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2683825;s__GCA-2683825 sp002683825,75.85,0.07,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__;s__,Placement,taxonomic novelty determined using RED,,89.03,11.0,0.74613141537,
CarAnox_mtb2-262,k__Bacteria,(UID2565),95.7,2.69,20.0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__;s__,,,,,,GCA_002683825.1,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2683825;s__GCA-2683825 sp002683825,76.23,0.1,d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__;s__,Placement,taxonomic novelty determined using RED,,91.87,11.0,0.810859573685,
CarAnox_mtb2-59,k__Bacteria,(UID3187),95.67,3.42,0.0,d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SCGCAAA288-L16;s__SCGCAAA288-L16 sp003451695,GCA_003451695.1,95.0,d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SCGCAAA288-L16;s__SCGCAAA288-L16 sp003451695,97.02,0.88,GCA_003451695.1,d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SCGCAAA288-L16;s__SCGCAAA288-L16 sp003451695,97.02,0.88,d__Bacteria;p__Nitrospinota;c__Nitrospinia;o__Nitrospinales;f__Nitrospinaceae;g__SCGCAAA288-L16;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCA_002731985.1, s__SCGCAAA288-L16 sp002731985, 95.0, 83.63, 0.79; GCA_000372225.1, s__SCGCAAA288-L16 sp000372225, 95.0, 76.85, 0.15",95.95,11.0,,
CarAnox_mtb2-1562,k__Bacteria,(UID2495),95.6,3.5,0.0,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA2968;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Latescibacterota;c__UBA2968;o__UBA2968;f__;g__;s__,Placement,taxonomic novelty determined using RED,,91.65,11.0,0.7013208265880001,
CarAnox_mtb2-1283,k__Bacteria,(UID2495),95.6,0.0,0.0,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS56;g__;s__,,,,,,GCA_001577055.1,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS56;g__TCS56;s__TCS56 sp001577055,76.67,0.13,d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__;g__;s__,Placement,taxonomic novelty determined using RED,,90.67,11.0,0.828262286224,
CarAnox_mtb2-1254,k__Bacteria,(UID2495),95.6,2.2,0.0,d__Bacteria;p__Gemmatimonadota_A;c__GCA-2686955;o__GCA-2686955;f__GCA-2686955;g__GCA-2686955;s__,,,,,,GCA_002686955.1,d__Bacteria;p__Gemmatimonadota_A;c__GCA-2686955;o__GCA-2686955;f__GCA-2686955;g__GCA-2686955;s__GCA-2686955 sp002686955,77.56,0.33,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,94.76,11.0,0.877014134637,
CarAnox_mtb2-1655,k__Bacteria,(UID2982),95.55,2.78,12.5,d__Bacteria;p__Verrucomicrobiota_A;c__Chlamydiia;o__Parachlamydiales;f__GCA-2709385;g__;s__,,,,,,,,,,d__Bacteria;p__Verrucomicrobiota_A;c__Chlamydiia;o__Parachlamydiales;f__;g__;s__,Placement,taxonomic novelty determined using RED,,84.72,11.0,0.709757562499,
CarAnox_mtb2-715,k__Bacteria,(UID2565),95.45,2.27,0.0,d__Bacteria;p__Planctomycetota;c__Brocadiae;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Planctomycetota;c__Brocadiae;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,84.96,11.0,0.489339800182,
CarAnox_mtb2-1542,k__Bacteria,(UID2565),95.45,2.27,0.0,d__Bacteria;p__Planctomycetota;c__UBA1135;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,90.48,11.0,0.46029314048500003,
CarAnox_mtb2-209,c__Alphaproteobacteria,(UID3305),95.4,0.43,0.0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA2966;f__UBA2966;g__;s__,,,,,,GCA_002690215.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA2966;f__UBA2966;g__GCA-2690215;s__GCA-2690215 sp002690215,76.74,0.2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA2966;f__UBA2966;g__;s__,Placement,taxonomic novelty determined using RED,,95.08,11.0,0.7944412517030001,
CarAnox_mtb2-1628,k__Bacteria,(UID2565),95.33,2.4,33.33,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA1268;s__UBA1268 sp002694955,GCA_002694955.1,95.0,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA1268;s__UBA1268 sp002694955,98.66,0.79,GCA_002694955.1,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA1268;s__UBA1268 sp002694955,98.66,0.79,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__UBA1268;g__UBA1268;s__,ANI/Placement,topological placement and ANI have congruent species assignments,"GCA_003509235.1, s__UBA1268 sp003509235, 95.0, 81.91, 0.6; GCA_002171115.1, s__UBA1268 sp002171115, 95.0, 81.6, 0.58; GCA_002712395.1, s__UBA1268 sp002712395, 95.0, 81.3, 0.67; GCA_002862175.1, s__UBA1268 sp002862175, 95.0, 81.23, 0.7; GCA_002862165.1, s__UBA1268 sp002862165, 95.0, 78.34, 0.3",85.99,11.0,,
CarAnox_mtb2-1015,k__Archaea,(UID2),95.33,2.8,0.0,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__RBG-16-48-13;f__;g__;s__,,,,,,,,,,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,90.94,11.0,0.527326540749,
CarAnox_mtb2-1268,k__Bacteria,(UID2982),95.27,1.35,0.0,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__,Placement,taxonomic novelty determined using RED,,87.8,11.0,0.67907458145,
CarAnox_mtb2-652,k__Bacteria,(UID2569),95.16,0.0,0.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__FEN-979;g__FEN-979;s__,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__,Placement,taxonomic novelty determined using RED,,93.73,11.0,0.857707411169,
CarAnox_mtb2-1372,k__Bacteria,(UID2565),95.16,2.15,0.0,d__Bacteria;p__Planctomycetota;c__Brocadiae;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Planctomycetota;c__Brocadiae;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,88.21,11.0,0.49242162223999997,
CarAnox_mtb2-606,o__Rhodospirillales,(UID3754),95.05,2.24,0.0,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__2-12-FULL-67-15;g__;s__,,,,,,GCA_001830475.1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__2-12-FULL-67-15;g__2-12-FULL-67-15;s__2-12-FULL-67-15 sp001830475,76.37,0.16,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales_A;f__;g__;s__,Placement,taxonomic novelty determined using RED,,95.6,11.0,0.751297859575,
CarAnox_mtb2-1594,c__Deltaproteobacteria,(UID3216),94.96,4.84,0.0,d__Bacteria;p__Desulfobacterota;c__Syntrophorhabdia;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Desulfobacterota;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,90.77,11.0,0.428858887662,
CarAnox_mtb2-1092,c__Deltaproteobacteria,(UID3216),94.95,0.86,0.0,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__NaphS2;g__;s__,,,,,,GCF_000179315.1,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__NaphS2;g__NaphS2;s__NaphS2 sp000179315,76.32,0.05,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__NaphS2;g__;s__,Placement,taxonomic novelty determined using RED,,94.84,11.0,0.8098085302019999,
CarAnox_mtb2-1215,c__Deltaproteobacteria,(UID3216),94.62,3.87,0.0,d__Bacteria;p__Myxococcota;c__UBA796;o__UBA9615;f__;g__;s__,,,,,,,,,,d__Bacteria;p__Myxococcota;c__UBA796;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,95.58,11.0,0.581772969396,
CarAnox_mtb2-114,k__Bacteria,(UID2565),94.62,1.08,0.0,d__Bacteria;p__GCA-001730085;c__;o__;f__;g__;s__,,,,,,,,,,d__Bacteria;;c__;o__;f__;g__;s__,Placement,taxonomic novelty determined using RED,,82.14,11.0,0.341113545472,
CarAnox_mtb2-316,k__Bacteria,(UID1452),94.61,1.98,0.0,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__,,,,,,,,,,d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__,Placement,taxonomic novelty determined using RED,,87.22,11.0,0.794658768378,
CarAnox_mtb2-982,k__Bacteria,(UID2982),94.59,2.73,0.0,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__UBA8416;g__;s__,,,,,,,,,,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__UBA8416;f__;g__;s__,Placement,taxonomic novelty determined using RED,,89.94,11.0,0.729892346381,
